code,name,user_type_id,reconcile
113,Tiền đang chuyển,Current Assets,True
334,Phải trả người lao động,Receivable,True
11,Ngân hàng và tiền mặt,Bank and Cash,
228,Đầu tư khác,Non-current Assets,
511,Doanh thu bán hàng và cung cấp dịch vụ,Income,
413,Chênh lệch tỷ giá  hối đoái,Equity,
338,"Phải trả, phải nộp khác",Current Liabilities,
336,Phải trả nội bộ,Current Liabilities,
241,Xây dựng cơ bản dở dang,Non-current Assets,
211,Tài sản cố định hữu hình,Non-current Assets,
136,Phải thu nội bộ,Current Assets,
133,Thuế GTGT được khấu trừ,Current Assets,
642,Chi phí quản lý doanh nghiệp,Expenses,
641,Chi phí bán hàng,Expenses,
521,Khoản giảm trừ doanh thu,Income,
411,Vốn đầu tư của chủ sở hữu,Equity,
341,Vay và nợ thuê tài chính,Current Assets,
213,Tài sản cố định vô hình,Current Assets,
156,Hàng hóa,Current Assets,
155,Thành phẩm,Current Assets,
911,Xác định kết quả kinh doanh,Current Year Earnings,
138,Trả cho Nhân viên,Current Liabilities,
111,Cash 1,Bank and Cash,
112,Bank 1,Bank and Cash,
