"Tên","Thuộc cột","Thuộc hàng","Thời gian xét"
"DUNOCK(111)","AG","83",""
"111","","",""
"111","","",""
"DUNOCK(112)","AG","84",""
"112","","",""
"DUNOCK_ChitietTheoTKvaDoituong(131)","AG","127",""
"DUCOCK_ChitietTheoTK(3381)","AG","446",""
"DUCOCK_ChitietTheoTK(3382)","AG","447",""
"DUCOCK_ChitietTheoTK(3383)","AG","448",""
"DUCOCK_ChitietTheoTK(3384)","AG","449",""
"DUCOCK_ChitietTheoTK(3386)","AG","450",""
"DUCODK_ChitietTheoTK(3386)","AV","450",""
"DUCODK_ChitietTheoTK(3384)","AV","449",""
"DUCODK_ChitietTheoTK(3383)","AV","448",""
"DUCODK_ChitietTheoTK(3382)","AV","447",""
"DUCODK_ChitietTheoTK(3381)","AV","446",""
"DUNODK(111)","AV","83",""
"DUNODK(112)","AV","84",""
"DUNODK_ChitietTheoTKvaDoituong(131)","AV","127",""
"DUCOCK_ChitietTheoTK(3385)","AG","451",""
"DUCODK_ChitietTheoTK(3385)","AV","451",""
"DUCOCK_ChitietTheoTK(344)","AG","452",""
"DUCODK_ChitietTheoTK(344)","AV","452",""
"DUCOCK_ChitietTheoTK(3388) + DUCOCK_ChitietTheoTK(138)","AG","454",""
"DUCODK_ChitietTheoTK(3388) + DUCODK_ChitietTheoTK(138)","AV","454",""
"DUCOCK(3387) - DUNOCK(3387)","AG","467",""
"DUCODK(3387) - DUNODK(3387)","AV","467",""
"DUCOCK(3521)","AG","531",""
"DUCODK(3521)","AV","531",""
"DUCOCK(3522)","AG","532",""
"DUCODK(3522)","AV","532",""
"DUCOCK(3523)","AG","533",""
"DUCODK(3523)","AV","533",""
"DUCOCK(3524)","AV","534",""
"DUCODK(3524)","AV","534",""
"PhatsinhCO(5111) + PhatsinhCO(5112) - PhatsinhDU(911/5111) - PhatsinhDU(911/5112) - PhatsinhNO(5111) - PhatsinhNO(5112) + PhatsinhDU(5111/911) + PhatsinhDU(5112/911) + PhatsinhDU(5111/521) + PhatsinhDU(5112/521)","AG","671",""
"PhatsinhCO_NamTruoc(5111) + PhatsinhCO_NamTruoc(5112) - PhatsinhDU_NamTruoc(911/5111) - PhatsinhDU_NamTruoc(911/5112) - PhatsinhNO_NamTruoc(5111) - PhatsinhNO_NamTruoc(5112) + PhatsinhDU_NamTruoc(5111/911) + PhatsinhDU_NamTruoc(5112/911) + PhatsinhDU_NamTruoc(5111/521) + PhatsinhDU_NamTruoc(5112/521)","AV","671",""
